course_name	course_title	course_description	course_subject	course_alternative_names
Bio eng c165	Medical Imaging Signals and Systems	Biomedical imaging is a clinically important application of engineering, applied mathematics, physics, and medicine. In this course, we apply linear systems theory and basic physics to analyze X-ray imaging, computerized tomography, nuclear medicine, and MRI. We cover the basic physics and instrumentation that characterizes medical image as an ideal perfect-resolution image blurred by an impulse response. This material could prepare the student for a career in designing new medical imaging systems that reliably detect small tumors or infarcts. 	Bioengineering	Bioengineering C165 BIO ENGC165
Mcellbi 239hh	Research Review in Cell and Developmental Biology: Mechanisms of Control of Growth and Cell Proliferation	Identifying pathways that restrict growth and cell proliferation in vivo. 	Molecular & Cell Biology	Molecular & Cell Biology 239HH MCELLBI239HH
Espm 233	Geographic Information Systems for Environmental Science and Management	"The objectives of the course are to: 1) review the GIS basics (data, analysis, and product generation) with special reference to data used in managing California environments; 2) understand the issues surrounding, and algorithms used in, a particular GIS application; and 3) develop an operational GIS project in a chosen area. This course is divided into three sections: 1) an intensive GIS fundamentals section covering geospatial data input, manipulation, analysis, and effective communication using common geospatial data from California sources; 2) a section that discusses linkages with other GIScience disciplines; 3) a topic based case-study portion; and 4) a project development phase. Topics will need to have management appplicability for an agency, not-for-profit, or similar type of group involved in environmental management. There will be lectures and labs throughout the class, although lab time nearer the end of class will be focused on class projects. Reading will be assigned throughout, and class discussion held. The final class period will be used as an ""illustrated paper"" session, in which final projects are displayed and discussed. "	Env Sci, Policy, & Mgmt	Env Sci, Policy, & Mgmt 233 ESPM233
A,resec 269	Natural Resource Economics Workshop	Presentation and criticism of ongoing research by faculty, staff, and students. Not necessarily offered every semester. 	Ag & Resource Econ & Pol	Ag & Resource Econ & Pol 269 A,RESEC269
Eps 109	Computer Simulations in Earth and Planetary Sciences	Introduction to modern computer simulation methods and their application to selected Earth and Planetary Science problems. In hands-on computer laboratories, students will learn about numerical algorithms, modify provided programs, and display the solution graphically on their laptops. This is an introductory course and no programming experience is required. Examples include fractals in geophysics, properties of materials at high pressure, celestial mechanics, and diffusion processes in the Earth. Topics range from ordinary and partial differential equations to molecular dynamics and Monte Carlo simulations. 	Earth & Planetary Science	Earth & Planetary Science 109 EPS109
Psych 146	Developmental and Biological Processes in Attachment	This course on attachment theory provides an integrative (evolutionary/genetic/experiential) approach to studying secure vs. insecure parent-child relationships; their precursors in parental rearing patterns and genetics; and their favorable vs. less favorable psychological sequelae for children. Adult life-history narratives indicative of secure vs. insecure adult attachment have been found associated with care-giving of offspring and change from insecure to secure adult attachment is discussed. 	Psychology	Psychology 146 PSYCH146
Civ eng 177	Foundation Engineering Design	Principles of foundation engineering. Shear strength of soil and theories related to the analysis and design of shallow and deep foundations, and retaining structures. Structural design of foundation elements; piles, pile caps, and retaining structures. The course has a group project that incorporates both geotechnical and structural components of different foundation elements. 	Civil & Environmental Eng	Civil & Environmental Eng 177 CIV ENG177
Mat sci 241	Electron Microscopy Laboratory	Basic techniques and operations of transmission, and scanning, electron microscopy; x-ray microanalysis, energy loss spectroscopy; specimen preparation, interpretation of data; individual projects in materials science. 	Materials Science & Eng	Materials Science & Eng 241 MAT SCI241
Pb hlth w224	Health Care Organizations and Management	Today, the health care system consists of a mixture of organizational forms that plan, regulate, and deliver medical care and other health services. The objective of this course is to consider 1) the structure of these organizations and the factors that affect their performance, as well as their growth and decline and 2) the role that health care managers play in the organizations in which they work. 	Public Health	Public Health W224 PB HLTHW224
Linguis 131	Indo-European Comparative Linguistics	The affinities of the Indo-European languages and the reconstruction of their common ancestor. 	Linguistics	Linguistics 131 LINGUIS131
Phdba c270	Workshop in Institutional Analysis	This seminar features current research of faculty, from UC Berkeley and elsewhere, and of advanced doctoral students who are investigating the efficacy of economic and non-economic forms of organization. An interdisciplinary perspective--combining aspects of law, economics, and organization--is maintained. Markets, hierarchies, hybrids, bureaus, and the supporting institutions of law and politics all come under scrutiny. The aspiration is to progressively build toward a new science of organization. 	Business Admin-PhD	Business Admin-PhD C270 PHDBAC270
Film 98	Directed Group Study	Supervised research by lower division students. 	Film	Film 98 FILM98
Chem 261a	Organic Reactions I	Features of the reactions that comprise the vocabulary of synthetic organic chemistry. 	Chemistry	Chemistry 261A CHEM261A
History 14	Introduction to the History of Japan	This course is a brisk introduction to the nearly two millennia of recorded Japanese history. As a survey, the course gives attention to broad themes and problems in Japan's political, social, and cultural/intellectual history. Topics include the dialectic of national and local identities in shaping Japanese politics, Japan's interaction with the Asian continent and the Western world, and the relation of past to present in modern times. 	History	History 14 HISTORY14
Mba 292j	Haas Socially Responsible Investment Fund	In this course, students manage a real investment fund ($1.7 million +) focused on both social and financial returns.  Through the Fund students have the opportunity to test the investment and corporate responsibility principles they have learned in the classroom, and to experience the complexities, challenges, and rewards of the investing world.  Students have full responsibility for investment decisions, including conducting their own research on companies’ environmental, social and governance (ESG) performance.  Students receive guidance from both a faculty advisor and an advisory board. The faculty advisor provides regular input on portfolio management, understanding portfolio performance and ESG investing.   	Business Admin-MBA	Business Admin-MBA 292J MBA292J
Rhetor 240g	Rhetorical Theory and Criticism: Rhetorical Theory	Advanced investigation of the rhetorical dimensions of various modes of discourse. Specific topics to be announced. 	Rhetoric	Rhetoric 240G RHETOR240G
Stat 210a	Theoretical Statistics	An introduction to mathematical statistics, covering both frequentist and Bayesian aspects of modeling, inference, and decision-making. Topics include statistical decision theory; point estimation; minimax and admissibility; Bayesian methods; exponential families; hypothesis testing; confidence intervals; small and large sample theory; and M-estimation. 	Statistics	Statistics 210A STAT210A
Math 224a	Mathematical Methods for the Physical Sciences	Introduction to the theory of distributions. Fourier and Laplace transforms. Partial differential equations. Green's function. Operator theory, with applications to one-parameter unitary groups, eigenfunction expansions, perturbation theory. 	Mathematics	Mathematics 224A MATH224A
Mba 290h	Management of Technology in China	The primary objective of this course and the associated innovation consulting projects is for students to learn and apply the approaches, skills, and behaviors required to successfully initiate and drive innovation in a complex organization. Students taking the course will use concepts and tools from several other Haas courses, including Economic Analysis for Business Decisions, Strategic Leadership, Leading People, Finance, and Problem Finding Problem Solving. As important, the student teams are expected to deliver the highest quality work and deliverables, genuine insights, innovative solutions, and real value on mission-critical client projects.	Business Admin-MBA	Business Admin-MBA 290H MBA290H
Mba 217	Topics in Economic Analysis and Policy	Advanced study in the field of economic analysis and policy. Topics will vary from year to year and will be announced at the beginning of each semester. 	Business Admin-MBA	Business Admin-MBA 217 MBA217
Math 274	Topics in Algebra	Advanced topics chosen by the instructor. The content of this course changes, as in the case of seminars. 	Mathematics	Mathematics 274 MATH274
Stat 243	Introduction to Statistical Computing	Concepts in statistical programming and statistical computation, including programming principles, data and text manipulation, parallel processing, simulation, numerical linear algebra, and optimization.	Statistics	Statistics 243 STAT243
Pb hlth 216a	Biological Embedding of Social Factors	"This is an interdisciplinary course which will adopt a broad-based ecological perspective of health and behavior. This class will emphasize the interconnected and multidirectional relationships between biology, behavior, and the social environment. This course will be conducted as a seminar series (with a focus on biological processes). We will investigate the assertion that biological, psychological, and social processes interact over a lifetime to influence health and vulnerability to disease (a developmental epigenetic perspective). Rather than focusing on ""if"" social factors can influence health and disease we will focus on ""how"" social factors may regulate/change biological measures. Three very general themes will be addressed: development, ""social"" neuroscience and gene-environment interactions as they relate to behavior. Topics such as constraints/plasticity and behavior, genetic determinism, vulnerability versus resilience, gene-environment interactions, fetal/developmental programming, and stress will all be touched upon. "	Public Health	Public Health 216A PB HLTH216A
A,resec 261	Natural Resource Economics	Methods of dynamic optimization. Theory of optimal management of renewable and nonrenewable resources. Applications to fisheries, forests, energy, and minerals. Impacts of alternative tax and market structures on patterns of depletion. Economics of conservation. Resources, growth, and sustainability. 	Ag & Resource Econ & Pol	Ag & Resource Econ & Pol 261 A,RESEC261
Scmathe 210	Practicum in Science and Math Education Research and Development	Practical experience on an educational research or development project on campus or elsewhere for 8-12 hours per week. Class meetings augment research experience with discussions of readings and interaction with guest speakers. 	Science & Math Education	Science & Math Education 210 SCMATHE210
Econ 250a	Labor Economics	Analysis of labor market behavior. 	Economics	Economics 250A ECON250A
A,resec c251	Microeconomics of Development	Theoretical and empirical analyses of poverty and inequality, household and community behavior, and contract and institutions in the context of developing countries. 	Ag & Resource Econ & Pol	Ag & Resource Econ & Pol C251 A,RESECC251
Chm eng c270	Protein Engineering	An in-depth study of the current methods used to design and engineer proteins. Emphasis on how strategies can be applied in the laboratory. Relevant case studies presented to illustrate method variations and applications. Intended for graduate students. 	Chemical Engineering	Chemical Engineering C270 CHM ENGC270
Soc wel 265m	Motivational Interviewing	Motivational interviewing (MI) is a modern clinical paradigm that dialectically integrates humanistic, client-centered principles with goal-focused strategies.  Students in this course will be introduced to all key aspects of MI including its major tenets, its theoretical base, the available empirical evidence on its efficacy, and its overall compatibility with social work. Moreover, students will learn all of the associated clinical skills for the four processes of motivational interviewing: 1) engaging; 2) focusing; 3) evoking; and 4) deciding and planning.	Social Welfare	Social Welfare 265M SOC WEL265M
Compsci 97	Field Study	Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation. 	Computer Science	Computer Science 97 COMPSCI97
Eps 100a	Minerals: Their Constitution and Origin	Introduction to structural, compositional, and physical properties of minerals, their analogs and related substances, their genesis in various geological and synthetic processes, and laboratory techniques to identify and investigate minerals. One field trip to selected mineral deposits and visits to laboratories. 	Earth & Planetary Science	Earth & Planetary Science 100A EPS100A
Ugis 82	K-8 Teaching and Inquiry-Based Lesson Design in the Science and Mathematics Classroom	This course surveys basic approaches to K-8 science and math teaching through modeling inquiry-based teaching and discussion. Topics include inquiry-based pedagogy, assessment techniques, lesson plan design and revision, and child development. Students are placed in science and math learning environments with upper elementary and middle school children to practice teaching. This seminar offers an opportunity to explore teaching, foster children's natural curiosity, and inspire local students.	UGIS-UG Interdisc Studies	UGIS-UG Interdisc Studies 82 UGIS82
Arch 207c	Professional Practice Colloquium	This course accompanies the required comprehensive design studio in the three-year option of the Master of Architecture program. It is the third in a series of three one-unit colloquia, scheduled consecutively for the first three semesters of the program. 	Architecture	Architecture 207C ARCH207C
Legalst 170	Crime and Criminal Justice	Introduction to the etiology of crime and criminal justice administration. What is crime? What are the main features and problems of the process by which suspected criminals are apprehended, tried, sentenced, punished? Past and current trends and policy issues will be discussed. 	Legal Studies	Legal Studies 170 LEGALST170
History 84	Sophomore Seminar	Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores. 	History	History 84 HISTORY84
Theater 177	Sound Design for Performance	In this course, undergraduate students will learn to construct sound cues and soundtracks for theater performances and videos using industry standard software, and will learn fundamental principles of incorporating video and sound into stage productions. Students will be exposed to the writings and works of prominent sound theorists, designers, and engineers and multimedia performance artists. The most successful students may be invited to participate in UC Berkeley theater productions as sound designers. 	Theater Dance & Perf Stds	Theater Dance & Perf Stds 177 THEATER177
Arch 179	Proseminar in the History of Architecture	Special topics in Architectural History. For current section offerings, see departmental announcement. 	Architecture	Architecture 179 ARCH179
Ugba 192n	Topics in Non-Profit Management	Advanced study in the field of non-profit management that will address current and emerging issues. Topics will vary with each offering and will be announced at the beginning of each term. 	Business Admin-Undergrad	Business Admin-Undergrad 192N UGBA192N
Punjabi 1a	Introductory Punjabi	Gurmukhi script. Survey of grammar. Graded exercises, leading to a mastery of basic language patterns, essential vocabulary, and achievement of basic reading and writing skills. 	Punjabi	Punjabi 1A PUNJABI1A
Anthro 189	Special Topics in Social/Cultural Anthropology	Various topics covering current research theory, method; issues of social and cultural concern; culture change, conflict, and adaptation. May combine more than one subdiscipline of Anthropology. 	Anthropology	Anthropology 189 ANTHRO189
Ne stud 105a	Ancient Mesopotamian Documents and Literature	A representative survey of original 3rd-1st millennium Cuneiform texts in translation.  The Sumerian religious and scholastic tradition; myths of creation, hymns, epics and early historical material. 	Near Eastern Studies	Near Eastern Studies 105A NE STUD105A
Nusctx 166	Nutrition in the Community	This course addresses basic nutrition in the context of the community. It explores nutrition programs that serve various segments of the population and the relationships of these programs to nutrition policy at the local, national, and international levels. Community assessment is used as the basis for program planning, implementation, and evaluation. The specific needs of population groups (infants, children, women, and the elderly) are considered and questions of food security are investigated. 	Nutritional Science & Tox	Nutritional Science & Tox 166 NUSCTX166
Mba 295m	Business Model Innovation and Entrepreneurial Strategy	The class teaches how to characterize and analyze business models and how to efficiently construct and test new business models. The course examines businesses across industries and phases of a firm's growth. Critical entrepreneurial strategies are illuminated for new ventures or in building a new enterprise inside a corporation. The course provides students with the skills and knowledge to rapidly assess and shape business models to their advantage in constructing new enterprises. 	Business Admin-MBA	Business Admin-MBA 295M MBA295M
Arch 204a	Final Thesis Seminar	Focused design research as the capstone project for graduate students.	Architecture	Architecture 204A ARCH204A
Geog 198	Directed Group Study		Geography	Geography 198 GEOG198
Sociol 103	Advanced Study in Social Theory	Course involves pursuing study in subfields of sociological theory. The course presumes a general background in social theory. 	Sociology	Sociology 103 SOCIOL103
Spanish 111a	Cervantes	Analysis and discussion of selected works by Cervantes, including his dramatic output. 	Spanish	Spanish 111A SPANISH111A
Legalst 109	Aims and Limits of the Criminal Law	Analysis of the capacity of criminal law to fulfill its aims. What are the aims of criminal law? How are they assigned relative priority? What principles can be identified for evaluating the effort to control disapproved activities through criminal law? 	Legal Studies	Legal Studies 109 LEGALST109
Bio eng 163	Principles of Molecular and Cellular Biophotonics	This course provides undergraduate and graduate bioengineering students with an opportunity to increase their knowledge of topics in the emerging field of biophotonics with an emphasis on fluorescence spectroscopy, biosensors and devices for optical imaging and detection of biomolecules. This course will cover the photophysics and photochemistry of organic molecules, the design and characterization of biosensors and their applications within diverse environments. 	Bioengineering	Bioengineering 163 BIO ENG163
Mil sci 100	Army Management and Leadership	The purpose of this two credit hour course is to develop students' knowledge of self, self-confidence, and individual leadership skills. Through experiential learning activities, students develop problem solving and critical thinking skills, and apply communication, feedback, and conflict resolution skills. This course is structured in modules. There are 4 modules encompassing 30 one-hour (50 minute) lessons as follows: \n Module 1 - Enhanced Skills Training Program - This web based program assesses individual student strengths and weaknesses in Mathematics and English and designs a program of self study to improve individual weak areas to meet or exceed, minimum capabilities. \n Module 2 - Physical Well Being - Nutrition, life style, stress management, techniques, and issues \n Module 3 - Individual Leadership Skills Development - Communications, Writing, Values, Ethics, confidence building \n Module 4 - Leadership/Team building - Group dynamics, Leadership case studies 	Military Science	Military Science 100 MIL SCI100
Ugis 162k	Spies! The Politics of Intelligence	"In this course, students will be introduced to recent issues concerning intelligence, such as intelligence failure, reform, and oversight, with a focus on how the change in U.S. intelligence in the post-9/11 context has increasingly emphasized domestic or ""homeland"" intelligence. Students will gain an understanding of the different types of intelligence, the range of responsibilities that the different Intelligence Community members hold, and the relationship between intelligence and the policymaking process. "	UGIS-UG Interdisc Studies	UGIS-UG Interdisc Studies 162K UGIS162K
Music 60	Harmony	Advanced diatonic harmony, modulation, introduction to altered chords, chorale harmonization, and analytic studies. Emphasis on written exercises. 	Music	Music 60 MUSIC60
Pb hlth w202	Ethnic and Cultural Diversity in Health Status	This course will examine ethnic and cultural differences in health status and behavior among historically marginalized communities in the United States, including African-Americans, Latinos, Asian-Americans, Native Americans, as well as sexual minorities and groups from non-Western societies. 	Public Health	Public Health W202 PB HLTHW202
Info 253	Web Architecture	This course is a survey of Web technologies, ranging from the basic technologies underlying the Web (URI, HTTP, HTML) to more advanced technologies being used in the the context of Web engineering--for example, structured data formats and Web programming frameworks. The goal of this course is to provide an overview of the technical issues surrounding the Web today, and to provide a solid and comprehensive perspective of the Web's constantly evolving landscape. 	Information	Information 253 INFO253
Philos 176	Hume		Philosophy	Philosophy 176 PHILOS176
English 198bc	Berkeley Connect	Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate. Course may be repeated for credit.	English	English 198BC ENGLISH198BC
A,resec 210	Probability and Statistics	This is an introduction to probability theory and statistical inference. It is primarily intended to prepare students for the graduate econometrics courses 212 and 213. The emphasis of the course is on the principles of statistical reasoning. Probability theory will be discussed mainly as a background for statistical theory and specific models will, for the most part, be considered only to illustrate the general statistical theory as it is developed. 	Ag & Resource Econ & Pol	Ag & Resource Econ & Pol 210 A,RESEC210
Math h54	Honors Linear Algebra and Differential Equations	Honors version of 54. Basic linear algebra: matrix arithmetic and determinants. Vectors spaces; inner product spaces. Eigenvalues and eigenvectors; linear transformations. Homogeneous ordinary differential equations; first-order differential equations with constant coefficients. Fourier series and partial differential equations. 	Mathematics	Mathematics H54 MATHH54
Mcellbi c64	Exploring the Brain: Introduction to Neuroscience	This course will introduce lower division undergraduates to the fundamentals of neuroscience. The first part of the course covers basic membrane properties, synapses, action potentials, chemical and electrical synaptic interactions, receptor potentials, and receptor proteins. The second part of the course covers networks in invertebrates, memory and learning behavior, modulation, vertebrate brain and spinal cord, retina, visual cortex architecture, hierarchy, development, and higher cortical centers. 	Molecular & Cell Biology	Molecular & Cell Biology C64 MCELLBIC64
Italian 130a	Dante's Inferno (in English)	An introduction to Dante's Inferno in the context of his other works. Taught in English. 	Italian Studies	Italian Studies 130A ITALIAN130A
Ugis 80b	It's Elementary! Exploring Math with Young Students	This course introduces the fundamentals of K-5 math education through demonstrations, skill modelng, and discussion. Topics include inquiry-based and cooperative learning strategies; team building and management tools; and assessment techniques. Students are placed in an elementary school and are provided the support needed to successfully participate in the classroom. This seminar offers an opportunity to explore teaching, foster children's natural curiosity, and inspire local students. 	UGIS-UG Interdisc Studies	UGIS-UG Interdisc Studies 80B UGIS80B
Music 98bc	Berkeley Connect	Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate.	Music	Music 98BC MUSIC98BC
Engin 25	Visualization for Design 	Development of 3-dimensional visualization skills for engineering design.  Sketching as a tool for design communication.  Presentation of 3-dimensional geometry with 2-dimensional engineering drawings.  This course will introduce the use of 2-dimensional CAD on computer workstations as a major graphical analysis and design tool.  A group design project is required.  Teamwork and effective communication are emphasized.	Engineering	Engineering 25 ENGIN25
Theater 146a	Choreography: Solo/Duet Showcase	Analysis of theories of form and structure and their practical application in relation to content. 	Theater Dance & Perf Stds	Theater Dance & Perf Stds 146A THEATER146A
Latin 1	Elementary Latin	Beginners' course. 	Latin	Latin 1 LATIN1
Journ 211	News Reporting Laboratory	This course is an intensive laboratory course taken in conjunction with our core reporting class, 200. It is designed to simulate as closely as possible the deadline and production pressures of a modern, multi-media news organization. Students report to the newsroom during the week to receive their reporting assignments. Print, audio, and video elements are gathered, produced, edited, rewritten as necessary and then made available to pre-selected media outlets for publication. Each section will produce a themed final project. 	Journalism	Journalism 211 JOURN211
Espm c129	Biometeorology	This course describes how the physical environment (light, wind, temperature, humidity) of plants and soil affects the physiological status of plants and how plants affect their physical environment. Using experimental data and theory, it examines physical, biological, and chemical processes affecting transfer of momentum, energy, and material (water, CO2, atmospheric trace gases) between vegetation and the atmosphere. Plant biometeorology instrumentation and measurements are also discussed. 	Env Sci, Policy, & Mgmt	Env Sci, Policy, & Mgmt C129 ESPMC129
Cy plan 202	Public Economics	Roles of governmental agencies as producers of urban services in nonmarket setting; local public finance, taxation, and budgeting; measurement of benefits and costs; criteria and procedures for investment decisions concerning types and qualities of services and facilities. Required core-course. 	City & Regional Planning	City & Regional Planning 202 CY PLAN202
Integbi 223	Seminar in Physiological Bases of Physical Activity	Immediate and long-range adaptations of the body to exercise. Physiological limits and work capacities in relation to age, sex, diet, environmental factors, and nature of activity. 	Integrative Biology	Integrative Biology 223 INTEGBI223
Educ 262f	Organizational Policy and Teachers' Work	Students will examine the ways in which state, district, and workplace policy bears upon various aspects of teachers' work. Special emphasis is given to the way in which policy choices--at whatever level--shape the experience of teaching and the organization of schooling. Among the policy areas considered are those governing membership in the teaching occupation, teaching assignments, classroom autonomy regarding curriculum and instruction, performance evaluation, and opportunities for professional development. This course is a requirement for students in educational administration and those students completing the Professional Administration Services Credential. It is open to all other interested students. 	Education	Education 262F EDUC262F
Info 202	Information Organization and Retrieval	This course introduces the intellectual foundations of information organization and retrieval: conceptual modeling, semantic representation, vocabulary and metadata design, classification, and standardization, as well as information retrieval practices, technology, and applications, including computational processes for analyzing information in both textual and non-textual formats.	Information	Information 202 INFO202
Classic 202a	Survey of Latin Literature	A sequence of readings and lectures on Latin literature. 	Classics	Classics 202A CLASSIC202A
Educ 215	Socialization Processes Within the Family	This course provides an overview of theoretical perspectives on family socialization. We review the literature on parental beliefs and child-rearing practices and study how families affect children's social development. We also examine familes in the context of culture and social class. The course concludes by focusing on the relationship between families and schools. Course requirements: class participation, three short papers, reaction notebook. 	Education	Education 215 EDUC215
Env des c169a	American Cultural Landscapes, 1600 to 1900	Introduces ways of seeing and interpreting American histories and cultures, as revealed in everyday built surroundings-- houses, highways, farms, factories, stores, recreation areas, small towns, city districts, and regions. Encourages students to read landscapes as records of past and present social relations and to speculate for themselves about cultural meaning. 	Environmental Design	Environmental Design C169A ENV DESC169A
Cy plan 201a	Planning Methods Gateway: Part I	Two-semester course sequence that introduces first-year students in the Master of City Planning (MCP) program to a suite of data collection, data analysis, problem solving, and presentation methods that are essential for practicing planners. 201A focuses on supporting integrated problem solving, using a case-based approach to introduce methods in sequenced building-blocks. 201B prepares MCP students for more advanced courses in statistics, GIS, observation, qualitative methods, survey methods, and public participation. 	City & Regional Planning	City & Regional Planning 201A CY PLAN201A
Civ eng 251	Operation of Transportation Facilities	The management of vehicle flows and fleets. Traffic stream properties and their measurement. Theories of traffic flow. Capacity analysis and queueing. Flow control and fleet scheduling. 	Civil & Environmental Eng	Civil & Environmental Eng 251 CIV ENG251
Educ 211a	Human Development and Education	Introduction to theories of human development and their application to elementary and preschool education. Topics include cognitive development, moral and social development, language acquisition, psycho-social perspectives on social-emotional development and a developmental analysis of classroom organization. Also supervised child study, individual and small group tutoring, and field experiences. 	Education	Education 211A EDUC211A
Civ eng 124	Structural Design in Timber	Characteristics and properties of wood as a structural material; design and detailing of structural elements and entire structures of wood. Topics include allowable stresses, design and detailing of solid sawn and glulam beams and columns, nailed and bolted connections, plywood diaphragms and shear walls. Case studies. 	Civil & Environmental Eng	Civil & Environmental Eng 124 CIV ENG124
Cuneif 100a	Elementary Akkadian	Introduction to cuneiform script and grammar, reading of selected Cuneiform texts. 	Cuneiform	Cuneiform 100A CUNEIF100A
L & s c5	Introduction to Entrepreneurship	Designed for students who wish to know about entrepreneurship, its importance to our society, and its role in bringing new ideas to market. Students will understand the entrepreneurial business process and how they might become involved in those processes in their future careers--in whatever direction those careers might lead. What is entrepreneurship? What is opportunity recognition and selection? How can you create competitive advantage? How do you focus on doing right and doing well? 	Letters & Science	Letters & Science C5 L & SC5
Mba 256	Global Leadership	Key behaviors of successful global leaders are examined based on recent research and examples. Blended learning approach enables students to build skills for working effectively with virtual colleagues, motivating people from different backgrounds, running a global team, exerting influence without direct authority, integrating a merger or acquisition, leading a cross-border innovation effort, handling customer or supplier relations, coaching and developing talent, driving a change initiative, and making tough ethical choices. Areas of focus will include self, team, and organization, with the aim to increase both personal awareness and organizational impact in a global context.	Business Admin-MBA	Business Admin-MBA 256 MBA256
Pb hlth 235	Impact Evaluation for Health Professionals	"This course will review the methods for the design and analysis of impact evaluations relevant to health professionals, especially those working in low and middle-income countries. The class will emphasize the challenges involved in identifying the causal relationship between a program or project and its outcomes while providing students with some experience in drafting a proposal that might be submitted to a funding agency for support of an impact evaluation. For doctoral students the course may help concretely to identify potential dissertation projects; for masters students the course will provide skills
useful in obtaining a future job in the field."	Public Health	Public Health 235 PB HLTH235
Isf 98	Directed Group Study	Seminars for the group study of selected topics not covered by regularly scheduled courses. Topics will vary from semester to semester. 	Interdisciplinary Studies	Interdisciplinary Studies 98 ISF98
Env des 251	Urban Places Seminar	Introduction to the design of urban places program for the Master of Urban Design degree. Faculty resources and issues arising in current urban design practice will be covered. 	Environmental Design	Environmental Design 251 ENV DES251
Integbi c82	Introduction to Oceans	The geology, physics, chemistry, and biology of the world oceans. The application of oceanographic sciences to human problems will be explored through special topics such as energy from the sea, marine pollution, food from the sea, and climate change. 	Integrative Biology	Integrative Biology C82 INTEGBIC82
English 174	Literature and History	Topics will vary from semester to semester. 	English	English 174 ENGLISH174
French r1a	English Composition in Connection with the Reading of Literature	This course is designed to fulfill the first half of the Reading and Composition requirement. The primary goal of this course is to develop students' reading and writing skills through a series of assignments that will provide them with the opportunity to formulate observations made in class discussions into coherent argumentative essays. Emphasis will be placed on the refinement of effective sentence, paragraph, and thesis formation, keeping in mind the notion of writing as a process. Other goals in this course are a familiarization with French literature and the specific questions that are relevant to this field. In addition, students will be introduced to different methods of literary and linguistic analysis in their nonliterary readings. 	French	French R1A FRENCHR1A
Espm 160ac	American Environmental and Cultural History	History of the American environment and the ways in which different cultural groups have perceived, used, managed, and conserved it from colonial times to the present. Cultures include American Indians and European and African Americans. Natural resources development includes gathering-hunting-fishing; farming, mining, ranching, forestry, and urbanization. Changes in attitudes and behaviors toward nature and past and present conservation and environmental movements are also examined. 	Env Sci, Policy, & Mgmt	Env Sci, Policy, & Mgmt 160AC ESPM160AC
Civ eng 263n	Scalable Spatial Analytics	Introduction to modern methods of data analysis, spatial data handling and visualization technologies for engineers and data scientists. Theoretical coverage includes a selection of methods from spatial statistics, exploratory data analysis, spatial data mining, discriminative and generative approaches of machine learning. Projects and assignment tasks are targeted at real-world scalable implementation of systems and services based on data analytics in environmental remote sensing, transportation, energy, location-based services and the domain of “smart cities” in general	Civil & Environmental Eng	Civil & Environmental Eng 263N CIV ENG263N
Africam 242	Special Topics in African Linguistics	Topics will vary to suit student demand or interest. The seminar will require solid grounding in linguistic theory. 	African American Studies	African American Studies 242 AFRICAM242
Xmba 205	Creating Effective Organizations	This core course surveys knowledge about behavior of organizations and in organizations. The course will include study of the issues of individual behavior, group functioning, and the actions of organizations in their environments, and analysis from a number of theoretical perspectives of such problems as work motivation, task design, leadership, communication, organizational design, and innovation. The class will explore the implications for the management of organizations through examples, cases, and exercises. 	Executive MBA	Executive MBA 205 XMBA205
Philos 98bc	Berkeley Connect	Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate.	Philosophy	Philosophy 98BC PHILOS98BC
German 24	Freshman Seminar	The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics may vary from department to department and semester to semester. Enrollment limited to 15 freshmen. 	German	German 24 GERMAN24
Espm 198bc	Berkeley Connect	"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate.
"	Env Sci, Policy, & Mgmt	Env Sci, Policy, & Mgmt 198BC ESPM198BC
